name,id,all_review_count
보배골,15338997,19
사천샘골식당,1015624214,18
다올닭반마리칼국수,1430509021,18
옛길만나가든,15365140,18
정동만남의광장,15368880,18
고을식당,15367705,18
국수마니아,1198421986,18
이밤동먹거리,1951084871,18
바다굴모듬찜,278084827,18
야식철가방,12025780,18
메밀집,15304020,18
몽실이,37486590,17
작은다리호떡집,1262380542,17
가보래손칼국수,15332519,17
태산순대국,1276604550,17
초원이모네,15332511,17
남도보쌈짚 강릉내곡점,1722539894,17
삼원손칼국수,15315326,17
모두랑식당,15291375,16
매일국수,1476340193,16
태인네포차,1953425523,16
강부맛나는닭갈비포남점,1822759725,16
설렘덩크,1391626004,16
안땔골식당,15337939,16
황란 식당,1774094145,16
가마솥인삼곰탕집,15387289,16
채선당 자연한가득 강릉내곡점,1302280920,15
부돈산,1679691479,15
장덕리방목토종닭,1324180172,15
부성가든,15701837,15
공단분식,21745380,15
태울한식뷔페,1314819965,15
백억다찌,1295323849,15
아저씨네닭도리탕,1841284780,15
구정휴게소 구정반상,1093799954,15
한송정보리밥,1289887162,15
밤하늘포차,1605276330,15
아름이네 부침,1249259296,15
인성참치 입암점,1289555795,14
매콤이 본점,1671909230,14
고단황금막국수,1761659960,14
별빛포차,1316667577,14
언덕위에일번지,15316318,13
빈이네 김밥,1145141946,13
맛있는하루,1956257025,13
